course_code,subject,course_number,course_name,credits,description,prerequisites,credit_restrictions,gen_ed,total_students,total_sections,overall_gpa
ARTH 495,ARTH,495,Undergraduate Seminar in Art History,"3 Hours
3 undergraduate hours. No graduate credit.","Seminar offering students practical experience in research methods in Art History. Focuses on a specialized theme of the professor's choice, and incorporates extensive reading in a specific field of Art History and the completion of a substantial research paper. 3 undergraduate hours. No graduate credit. May be repeated if topics vary.",,No graduate credit.,,,,
ARTH 500,ARTH,500,Graduate Writing Workshop,1 to 2 Hours,"A weekly writing workshop for doctoral Art History students who have completed their required coursework and are working on dissertation proposals or on their dissertations. The weekly sessions will provide structured time devoted to meeting specific writing goals; discussion of the writing process; peer review and instructor's individual feedback on students' writing, and guidance on how to make progress on their work. Approved for S/U grading only. May be repeated to a maximum of 6 hours in separate semesters. Prerequisite: Completion of all other required coursework. For doctoral students only.",Prerequisite: Completion of all other required coursework.,,,,,
ARTH 501,ARTH,501,Seminar in Chinese Art,4 Hours,"Investigation of selected phases, concepts, and problems of the art of China; intensive reading and reports. Same as EALC 501. May be repeated to a maximum of 12 hours. Prerequisite: Consent of instructor.",Prerequisite: Consent of instructor.,,,,,
ARTH 510,ARTH,510,Seminar in African Art,4 Hours,"This seminar includes a variety of topics, such as African Diaspora Theory, Contemporary African Art, Performance Art in Africa, Tourist art in Africa. Each graduate seminar will have a significant reading list with weekly responses, as well as a research paper and presentation. Same as AFST 509. May be repeated to a maximum of 20 hours. Prerequisite: Consent of instructor.",Prerequisite: Consent of instructor.,,,,,
ARTH 515,ARTH,515,Seminar in Ancient Art,4 Hours,Research seminar in subject selected from the art and architecture of the ancient period. Same as CLCV 515. May be repeated to a maximum of 12 hours. Prerequisite: Consent of instructor.,Prerequisite: Consent of instructor.,,,,,
ARTH 520,ARTH,520,Seminar in Class Archaeology,4 Hours,Same as CLCV 520. See CLCV 520.,,,,,,
ARTH 522,ARTH,522,Seminar in Medieval Art,4 Hours,Research seminar in subjects selected from the art and architecture of the medieval period. Same as MDVL 522. May be repeated to a maximum of 12 hours. Prerequisite: Consent of instructor.,Prerequisite: Consent of instructor.,,,,,
ARTH 530,ARTH,530,Seminar Italian Art,4 Hours,Special problems in the history of Italian Renaissance art. May be repeated to a maximum of 12 hours. Prerequisite: Consent of instructor.,Prerequisite: Consent of instructor.,,,,,
ARTH 531,ARTH,531,Seminar in N. Renaissance Art,4 Hours,Research seminar in subjects selected from the art of the Northern Renaissance. Same as MDVL 540. May be repeated to a maximum of 12 hours. Prerequisite: Consent of instructor.,Prerequisite: Consent of instructor.,,,,,
ARTH 535,ARTH,535,Seminar in Baroque Art,4 Hours,Research seminar in problems selected from the art of seventeenth-century Europe. May be repeated to a maximum of 12 hours. Prerequisite: Consent of instructor.,Prerequisite: Consent of instructor.,,,,,
ARTH 539,ARTH,539,Academies of Art,4 Hours,"Academies, schools of art, and training workshops, have been educational, administrative, political and economic centers for the debate, control, dissemination, and legitimization of the theories, teaching and practice of the ""Fine Arts."" This seminar analyzes the aims, parameters and meanings ascribed to these heavily invested and historically empowered sites through an examination of historiography, as well as models traditionally used in their defense or denigration.",,,,,,
ARTH 540,ARTH,540,Seminar in Art 1750 to 1900,4 Hours,Intensive study of selected problems in European art.,,,,,,
ARTH 541,ARTH,541,Seminar in Modern Art,4 Hours,Investigation of special problems in the history of twentieth-century art. Students present reports of their research. May be repeated to a maximum of 12 hours. Prerequisite: Consent of instructor.,Prerequisite: Consent of instructor.,,,,,
ARTH 545,ARTH,545,Realism to Postimpressionism,4 Hours,"Studies European art from 1850 to 1900, with emphasis on French painting.",,,,,,
ARTH 546,ARTH,546,Seminar in Contemporary Art,4 Hours,Intensive study of selected problems or artists. May be repeated to a maximum of 12 hours. Prerequisite: Consent of instructor.,Prerequisite: Consent of instructor.,,,,,
ARTH 550,ARTH,550,Seminar in American Art,4 Hours,"Investigation of selected problems in the history of American art. May be repeated to a maximum of 12 hours. Prerequisite: ARTH 350 and ARTH 351, or consent of instructor.","Prerequisite: ARTH 350 and ARTH 351, or consent of instructor.",,,,,
