course_code,subject,course_number,course_name,credits,description,prerequisites,credit_restrictions,gen_ed,total_students,total_sections,overall_gpa
CWL 502,CWL,502,Methods of Comparative Lit,4 Hours,"Problems and methods of cross-cultural literary studies, concentrating on the effects of historical encounters between different civilizations and on theoretical issues in comparing literatures across cultures.",,,,,,
CWL 503,CWL,503,Historiography of Cinema,4 Hours,Same as ENGL 503 and MACS 503. See MACS 503.,,,,,,
CWL 504,CWL,504,Theories of Cinema,4 Hours,Same as ENGL 504 and MACS 504. See MACS 504.,,,,,,
CWL 511,CWL,511,Applied Literary Translation I,4 Hours,"Same as EALC 511, GER 511, SLAV 501, and TRST 501. See TRST 501.",,,,,,
CWL 512,CWL,512,Applied LiteraryTranslation II,4 Hours,"Same as EALC 512, GER 512, SLAV 502, and TRST 502. See TRST 502.",,,,,,
CWL 535,CWL,535,Nabokov,4 Hours,Same as RUSS 535. See RUSS 535.,,,,,,
CWL 551,CWL,551,Seminar Lit Movements,4 Hours,"Investigation of the development and mutation of literary movements (classicism, romanticism, symbolism, etc.) through a study of critical texts and their reception in various countries. May be repeated to a maximum of 12 hours if topics vary.",,,,,,
CWL 552,CWL,552,Studies French & Comp Cinema,4 Hours,Same as FR 552. See FR 552.,,,,,,
CWL 561,CWL,561,Seminar Genres - Forms,4 Hours,"Study of a form (the lyric, the novel, the drama, etc.) to discover its essential components in all the literatures studied and the significance of national variations. May be repeated to a maximum of 12 hours if topics vary.",,,,,,
CWL 562,CWL,562,Sem Spanish-American Lit,4 Hours,Same as SPAN 535. See SPAN 535.,,,,,,
CWL 571,CWL,571,Seminar in Literary Relations,4 Hours,"Investigation of the impact of one literature upon another, or of some specific works upon others (the role of English literature in continental Europe, the influence of Russian novelists on French and German writers, etc.). May be repeated to a maximum of 12 hours if topics vary.",,,,,,
CWL 576,CWL,576,Methods in Slavic Grad Study,4 Hours,Same as SLAV 576. See SLAV 576.,,,,,,
CWL 578,CWL,578,Seminar 20thC French Lit,4 Hours,Same as FR 578. See FR 578.,,,,,,
CWL 581,CWL,581,Seminar Lit Themes,4 Hours,"Study of a theme or type (the Faust myth, the romantic hero, etc.) to discover its essential components in all the literatures studied and the significance of national variations. The subject of the seminar varies each term. May be repeated to a maximum of 12 hours if topics vary.",,,,,,
CWL 582,CWL,582,Proseminar,4 Hours,"Introduction to comparative literature as a discipline, history and philosophy of comparative literature, and training in practical professional skills, including conference presentations, grant writing, and course development. Prerequisite: Graduate standing.",Prerequisite: Graduate standing.,,,,,
CWL 586,CWL,586,Children and Youth Literature,4 Hours,"Same as EURO 576, GWS 576, and SCAN 576. See SCAN 576.",,,,,,
CWL 593,CWL,593,Special Studies,1 to 4 Hours,,,,,,,
CWL 599,CWL,599,Thesis Research,0 to 16 Hours,Intended for students engaged in writing a thesis as a partial requirement for the M.A. or Ph.D. degree in comparative literature. Approved for S/U grading only. May be repeated in the same term or in separate terms up to a maximum of 8 hours.,,,,,,
